"Title","Platform","Collection/Wishlist"
"Spirou","Super NES",Collection
"Spy Vs. Spy","Sega Master System",Collection
"Spy Vs. Spy","Sega Master System",Collection
"Spyro The Dragon","Playstation",Collection
"Star Fox: Assault","Gamecube",Collection
"Star Wars","NES",Collection
"Star Wars","Sega Master System",Collection
"StarFox Adventures","Gamecube",Collection
"StarTropics","NES",Collection
"Starfox","Super NES",Collection
"Starwing","Super NES",Collection
"Street Fighter 2 30th Anniversary","Super NES",Collection
"Street Fighter 2 Turbo","Super NES",Collection
"Street Fighter 2: Special Championship Edition","Sega Megadrive",Collection
"Street Fighter 2’","Sega Master System",Collection
"Street Fighter Alpha 2","Super NES",Collection
"Street Fighter II","Super NES",Collection
"Street Fighter II Turbo","Super NES",Collection
"Street Racer","Super NES",Collection
"Streets of Rage","Sega Megadrive",Collection
"Streets of Rage","Sega Master System",Collection
"Streets of Rage 2","Sega Megadrive",Collection
"Strider","Sega Megadrive",Collection
"Strider","Sega Master System",Collection
"Strider II","Sega Master System",Collection
"Stunt Race FX","Super NES",Collection
"Submarine Attack","Sega Master System",Collection
"Suikoden","Playstation",Collection
"Summer Games","Sega Master System",Collection
"Sunset Riders","Super NES",Collection
"Super Adventure Island","Super NES",Collection
"Super Aleste","Super NES",Collection
"Super Battletank","Super NES",Collection
"Super Battletank 2","Super NES",Collection
"Super Bomberman","Super NES",Collection
"Super Bomberman 2","Super NES",Collection
"Super Bomberman 3","Super NES",Collection
"Super Castlevania IV","Super NES",Collection
"Super Dany","Super NES",Collection
"Super Double Dragon","Super NES",Collection
"Super Famicom Console","Super Famicom",Collection
"Super Game Boy","Super NES",Collection
"Super Gameboy","Super NES",Collection
"Super Ghouls ’N Ghosts","Super NES",Collection
"Super Ice Hockey","Super NES",Collection
"Super International Cricket","Super NES",Collection
"Super Kick Off","Sega Master System",Collection
"Super Mario 3D World","Wii U",Collection
"Super Mario 64","Nintendo 64",Collection
"Super Mario All-Stars","Super NES",Collection
"Super Mario Bros / Duck Hunt","NES",Collection
"Super Mario Bros.","NES",Collection
"Super Mario Bros. / Duck Hunt","NES",Collection
"Super Mario Bros. 2","NES",Collection
"Super Mario Bros. 3","NES",Collection
"Super Mario Galaxy","Wii",Collection
"Super Mario Galaxy 2","Wii",Collection
"Super Mario Kart","Super NES",Collection
"Super Mario Odyssey","Switch",Collection
"Super Mario RPG: Legend of the Seven Stars","Super NES",Collection
"Super Mario Sunshine","Gamecube",Collection
"Super Mario Sunshine","Gamecube",Collection
"Super Mario World","Super NES",Collection
"Super Mario World","Super NES",Collection
"Super Mario World 2: Yoshi’s Island","Super NES",Collection
"Super Metroid","Super NES",Collection
"Super Metroid Zelda Big Box Double Pak","Super NES",Collection
"Super Monaco GP","Sega Master System",Collection
"Super Monaco GP","Sega Megadrive",Collection
"Super Morph","Super NES",Collection
"Super Nes Controller","Super NES",Collection
"Super Off Road","Sega Master System",Collection
"Super Off Road","NES",Collection
"Super Probotector: Aliens Rebels","Super NES",Collection
"Super Probotector: Aliens Rebels","Super NES",Collection
"Super Punch-Out!!","NES",Collection
"Super R-Type","Super NES",Collection
"Super Return Of The Jedi","Super NES",Collection
"Super Smash Bros Ultimate","Switch",Collection
"Super Smash Bros.","Nintendo 64",Collection
"Super Smash Bros. Melee","Gamecube",Collection
"Super Smash T.V.","Super NES",Collection
"Super Smash TV","Sega Master System",Collection
"Super Soccer","Super NES",Collection
"Super Space Invaders","Sega Master System",Collection
"Super Spike V’Ball","NES",Collection
"Super Star Wars","Super NES",Collection
"Super Street Fighter II","Super NES",Collection
"Super Street Fighter IV Arcade Edition","Playstation Network",Collection
"Super Swiv","Super NES",Collection
"Super Tennis","Sega Master System",Collection
"Super Tennis","",Collection
"Super Tennis","Sega Master System",Collection
"Super Troll Islands","Super NES",Collection
"Super Turrican","Super NES",Collection
"Superman 64","Nintendo 64",Collection
"Superman The Man Of Steel","Sega Master System",Collection
"Suzuka 8 Hours","Super NES",Collection
"Swamp Thing","NES",Collection
"Sword Art Online Fatal Bullet Complete Edition","Switch",Collection
"Sword of Vermilion","Sega Megadrive",Collection
"T&E Virtual Golf","Nintendo Virtual Boy",Collection
"TMNT Teenage Mutant Ninja Turtles","PS2",Collection
"Tales Of Phantasia","Super NES",Collection
"Tales of Symphonia","Gamecube",Collection
"Taz-Mania","Sega Master System",Collection
"Tecmo Secret Of The Stars","Super NES",Collection
"Teddy Boy","Sega Master System",Collection
"Teddy Boy","Sega Master System",Collection
"Teenage Mutant Ninja Turtles","NES",Collection
"Teenage Mutant Ninja Turtles II: Back From The Sewers","Game Boy",Collection
"Teenage Mutant Ninja Turtles II: The Arcade Game","NES",Collection
"Teenage Mutant Ninja Turtles III: The Manhattan Project","NES",Collection
"Teenage Mutant Ninja Turtles IV: Turtles in Time","Super NES",Collection
"Teenage Mutant Ninja Turtles: Fall of the Foot Clan","Game Boy",Collection
"Teenage Mutant Ninja Turtles: The Hyperstone Heist","Sega Megadrive",Collection
"Teenage Mutant Ninja Turtles: Tournament Fighters","Sega Megadrive",Collection
"Tekken","Playstation",Collection
"Tekken 2","Playstation",Collection
"Tekken 3","Playstation",Collection
"Tekken 6","PS3",Collection
"Tennis Ace","Sega Master System",Collection
"Terminator, The","Sega Master System",Collection
"Terranigma","Super Famicom",Collection
"Terranigma","Super NES",Collection
"The Addams Family","Sega Master System",Collection
"The Adventures Of Bayou Billy","NES",Collection
"The Goonies II","NES",Collection
"The Great Circus Mystery Starring Mickey & Minnie","Super NES",Collection
"The Incredible Hulk","Super NES",Collection
"The Incredible Hulk","Sega Master System",Collection
"The Legend Of Zelda","NES",Collection
"The Legend Of Zelda Collector’s Edition","Gamecube",Collection
"The Legend Of Zelda: Ocarina Of Time 3D","3DS",Collection
"The Legend Of Zelda: Skyward Sword","Wii",Collection
"The Legend of Zelda : Link’s Awakening: Limited Edition","Switch",Collection
"The Legend of Zelda : The Wind Waker","Gamecube",Collection
"The Legend of Zelda: A Link to the Past","Super NES",Collection
"The Legend of Zelda: A Link to the Past","Super NES",Collection
"The Legend of Zelda: Breath of the Wild Limited Edition","Switch",Collection
"The Legend of Zelda: Link’s Awakening DX","Game Boy Color",Collection
"The Legend of Zelda: Majora’s Mask","Nintendo 64",Collection
"The Legend of Zelda: Ocarina of Time","Nintendo 64",Collection
"The Legend of Zelda: Ocarina of Time","Nintendo 64",Collection
"The Legend of Zelda: Twilight Princess","Gamecube",Collection
"The Legend of Zelda: Twilight Princess","Wii",Collection
"The Lion King(Regular Version)","Super NES",Collection
"The Little Mermaid","NES",Collection
"The Lost Vikings","Super NES",Collection
"The Lucky Dime Caper Starring Donald Duck","Sega Master System",Collection
"The Magical Quest Starring Mickey Mouse","Super NES",Collection
"The Ninja","Sega Master System",Collection
"The Ottifants","Sega Master System",Collection
"The Smurfs","Sega Master System",Collection
"The Yakyûken Special (Japanese)","Sega Saturn",Collection
"Theme Park","Super NES",Collection
"Thunder Blade","Sega Master System",Collection
"Time Lord","NES",Collection
"Time Soldiers","Sega Master System",Collection
"Timeslip","Super NES",Collection
"Timon & Pumba Spielesammlung","Super NES",Collection
"Tiny Toons Adventures: Buster Busts Loose!","Super NES",Collection
"To The Earth","NES",Collection
"Toe Jam & Earl","Sega Megadrive",Collection
"Tom And Jerry The Movie","Sega Master System",Collection
"Tom Clancy’s Ghost Recon","Xbox",Collection
"Tom Clancy’s Rainbow Six: Lockdown","Xbox",Collection
"Tomb Raider 2","Playstation",Collection
"Tomb Raider III","Playstation",Collection
"Tony Hawk’s Pro Skater","Playstation",Collection
"Tony Hawk’s Pro Skater 2","Playstation",Collection
"Top Gun","NES",Collection
"TransBot","Sega Master System",Collection
"Treasure Hunter G","Super NES",Collection
"Treasure Of The Rudras","Super NES",Collection
"Trivial Pursuit","Sega Master System",Collection
"Trojan","NES",Collection
"Trolls In Crazyland, The","NES",Collection
"Turok: Rage Wars","Nintendo 64",Collection
"Turrican","Sega Genesis",Collection
"U.N. Squadron","Super NES",Collection
"U.N. Squadron","Super NES",Collection
"UEFA Dream Soccer","Sega Dreamcast",Collection
"Ufouria The Saga NES-6U-SCN","NES",Collection
"Ultima IV","Sega Master System",Collection
"Uniracers","Super NES",Collection
"Untold Legends: Dark Kingdom Skiva 1616","PS3",Collection
"VIP","Playstation",Collection
"Vertical Force","Nintendo Virtual Boy",Collection
"Vigilante","Sega Master System",Collection
"Virtua Fighter 5","PS3",Collection
"Virtual Bart","Super NES",Collection
"Virtual League Baseball ’95","Nintendo Virtual Boy",Collection
"Virtual Soccer","Super NES",Collection
"WCW / nWo Revenge","Nintendo 64",Collection
"WCW vs. nWo: World Tour","Nintendo 64",Collection
"WWE Smackdown vs Raw 2009","PS3",Collection
"WWF Raw","Sega Megadrive",Collection
"WWF Raw","Super NES",Collection
"WWF Royal Rumble","Super NES",Collection
"WWF Super Wrestlemania","Super NES",Collection
"WWF War Zone","Nintendo 64",Collection
"WWF Wrestlemania 2000","Nintendo 64",Collection
"WWF Wrestlemania Challenge","NES",Collection
"WWF Wrestlemania: Steel Cage Challenge","Sega Master System",Collection
"WWF Wrestlemania: The Arcade Game","Sega Megadrive",Collection
"WWF: Attitude","Nintendo 64",Collection
"Wanted","Sega Master System",Collection
"Wario Land 2","Game Boy",Collection
"Wario Land: The Shake Dimension","Wii",Collection
"Waterworld","Super NES",Collection
"Wave Race 64","Nintendo 64",Collection
"Waverace Bluestorm","Gamecube",Collection
"Wayne Gretzky Hockey","NES",Collection
"Werewolf: The Last Warrior","NES",Collection
"Wet","PS3",Collection
"Where In The World Is Carmen Sandiego?","Sega Master System",Collection
"Wii U","Wii U",Collection
"Wii U Pro Controller","Wii U",Collection
"Wii U Pro Controller White","Wii U",Collection
"Wild Arms","Playstation",Collection
"Wild Guns","Super NES",Collection
"Wimbledon (Solo Cartucho)","Sega Master System",Collection
"Wimbledon II","Sega Master System",Collection
"Winter Olympics","Sega Master System",Collection
"Wiz N’ Liz","Sega Megadrive",Collection
"Wizards & Warriors","NES",Collection
"Wizards & Warriors III","NES",Collection
"Wolfchild","Sega Master System",Collection
"Wolfenstein","PS3",Collection
"Wolfenstein 3D","Super NES",Collection
"Wonder Boy","Sega Master System",Collection
"Wonder Boy III: The Dragon’s Trap CB A-","Sega Master System",Collection
"Wonder Boy In Monster Land CIB A-","Sega Master System",Collection
"Wonder Boy in Monster Lair","Sega Megadrive",Collection
"Wonder Boy in Monster Land","Sega Master System",Collection
"Wonder Boy in Monster World","Sega Master System",Collection
"World Class Leaderboard","Sega Master System",Collection
"World Class Rugby","Super NES",Collection
"World Cup Italia ’90","Sega Master System",Collection
"World Games","Sega Master System",Collection
"World Grand Prix","Sega Master System",Collection
"World League Basketball","Super NES",Collection
"World Soccer","Sega Master System",Collection
"Worms Armageddon","Nintendo 64",Collection
"Wrath of the Black Manta","NES",Collection
"X Zone","Super NES",Collection
"X-Men Mutant Apocalypse","Super NES",Collection
"X-men","Sega Megadrive",Collection
"Xenoblade Chronicles","Wii",Collection
"Xenoblade Chronicles","3DS",Collection
"Xenoblade Chronicles 2 - Limited Edition","Switch",Collection
"Xenoblade Chronicles Definitive Edition","Switch",Collection
"Xenon 2 Megablast","Sega Master System",Collection
"Ys III: Wanderers From Ys","Super NES",Collection
"Ys IV Mask Of The Sun","Super NES",Collection
"Ys V Kefin, The Lost City Of Sand","Super NES",Collection
"Y’s The Vanished Omens","Sega Master System",Collection
"Zaxxon 3-D","Sega Master System",Collection
"Zelda Goddess Of Wisdom","Super NES",Collection
"Zelda Outlands","NES",Collection
"Zero Wing","Sega Megadrive",Collection
"Zillion","Sega Master System",Collection
"Zillion II: The Tri Formation","Sega Master System",Collection
"Zoda’s Revenge: StarTropics II","NES",Collection
"Zool","Sega Master System",Collection
"aerial assault","Sega Master System",Collection
"collector tomb raider","Playstation",Collection
"little Red Hood, The","NES",Collection
"secret command","Sega Master System",Collection
"space gun","Sega Master System",Collection
